wh_id,container_id,priority,arrive_datetime,cut_datetime,pull_datetime,item_number,pick_quantity,wms_pick_location,print_zone,aisle_sequence,picking_flow_as_int,released_flag
AVP1,1078635702,0,2025-04-05 00:23:00,2025-04-07 15:00:00,2025-04-07 18:00:00,67519,1.0,52-44-A01,5,39,363872,0
AVP1,1078638007,0,2025-04-05 00:24:00,2025-04-07 18:00:00,2025-04-07 21:00:00,150641,1.0,33-21-C04,4,28,263969,0
AVP1,1078638007,0,2025-04-05 00:24:00,2025-04-07 18:00:00,2025-04-07 21:00:00,178225,1.0,39-09-C01,4,31,283750,0
AVP1,1078638007,0,2025-04-05 00:24:00,2025-04-07 18:00:00,2025-04-07 21:00:00,63670,1.0,54-40-A02,5,40,370258,0
AVP1,1078638007,0,2025-04-05 00:24:00,2025-04-07 18:00:00,2025-04-07 21:00:00,68232,1.0,25-42-A02,4,24,227331,0
AVP1,1078638007,0,2025-04-05 00:24:00,2025-04-07 18:00:00,2025-04-07 21:00:00,793566,1.0,23-44-C01,3,23,222424,0
AVP1,1078639099,0,2025-04-05 00:24:00,2025-04-07 15:00:00,2025-04-07 18:00:00,368834,1.0,07-11-C04,2,15,72919,0
AVP1,1078639099,0,2025-04-05 00:24:00,2025-04-07 15:00:00,2025-04-07 18:00:00,47420,1.0,J-02-A01,2,11,35458,0
AVP1,1078639099,0,2025-04-05 00:24:00,2025-04-07 15:00:00,2025-04-07 18:00:00,929918,1.0,L-48-A01,2,12,44018,0
AVP1,1078639234,0,2025-04-05 00:25:00,2025-04-07 18:00:00,2025-04-07 21:00:00,100511,1.0,53-15-A02,5,39,363629,0
AVP1,1078639234,0,2025-04-05 00:25:00,2025-04-07 18:00:00,2025-04-07 21:00:00,67525,1.0,59-41-A02,5,42,382437,0
AVP1,1078639234,0,2025-04-05 00:25:00,2025-04-07 18:00:00,2025-04-07 21:00:00,73936,1.0,54-46-A01,5,40,370223,0
AVP1,1078641710,0,2025-04-05 00:31:00,2025-04-07 18:00:00,2025-04-07 21:00:00,1043606,1.0,22-42-C02,3,23,222219,0
